"","prec_num","approx_year_built","cats_allowed","common_charges","community_district_num","coop_condo","date_of_sale","dining_room_type","dogs_allowed","fuel_type","garage_exists","kitchen_type","maintenance_cost","num_bedrooms","num_floors_in_building","num_full_bathrooms","num_total_rooms","parking_charges","pct_tax_deductibl","sale_price","sq_footage","total_taxes","walk_score","listing_price_to_nearest_1000","zipcodes","num_train","num_liq","num_crimes"
"516",115,1921,"no",479.73,30,"co-op",17017,"combo","no","gas","NA","combo",789,2,5,1,5,196.04,39.83,290000,844.64,2251.347,96,363770,11105,0,20,7979
"517",115,1927,"no",353,30,"condo",17123,"combo","no","oil","NA","eat in",526.16,1,6,1,3,175.12,31.52,445000,712,231,96,479412.5,11377,1,20,7979
"518",115,2015,"yes",220,28,"condo",17136,"combo","yes","gas","NA","eat in",1029.84833333333,3,3,2,7,146.24,32.06,905000,1400,360,85,742510,11105,0,20,7979
"519",115,2007,"no",230,24,"condo",17091,"other","no","gas","NA","efficiency",445.818333333333,1,5.71,1,4,133.54,38.64,380000,739.15,1500,77,397930,11379,0,20,7979
"520",115,1953.175,"yes",423.37,30,"co-op",17070,"combo","yes","gas","NA","eat in",494,0,6.17,1,3,101.66,42.49,210000,620.74,2259.33333333333,96,238626.666666667,11372,1,20,7979
"521",115,1942,"no",470,30,"condo",17183,"combo","no","gas","NA","eat in",592.886666666667,1,5.3,1,3,111.05,36.6333333333333,425000,679,1783,70,432705,11370,0,18,7979
"522",115,1922,"yes",481.879880952381,30,"co-op",17189,"formal","yes","gas","NA","efficiency",885,3,1,2,6,157.93,25,692000,1300,2051.055,97,707160,11372,1,20,7979
"523",115,1950,"yes",607.12,24,"co-op",16902,"combo","yes","gas","NA","eat in",722,1,5.52,1,3,156.15,50.27,237000,795.39,2710.1,97,250783.333333333,11104,0,19,7979
"524",115,1958,"yes",538.65,30,"co-op",17120,"other","yes","gas","NA","efficiency",709,2,14,1,4,500,49.66,410000,875,2513.31,93,473380,11106,0,20,7979
"525",115,1950,"yes",563.57,30,"co-op",16929,"combo","yes","oil","NA","efficiency",439,0,6.91,1,1,122.78,49.3,150000,400,2316.83,96,171390,11372,1,20,7979
"526",115,1938,"yes",455.16,30,"co-op",17171,"formal","yes","gas","NA","efficiency",679,1,7,1,3,139,20,190000,857.9,1179.13,96,274430,11377,0,19,7979
"527",115,1939,"no",646.633333333333,30,"co-op",16941,"formal","no","gas","NA","efficiency",951,2,6,1,5,125.54,45,399000,950,3006.655,83,375410,11372,1,20,7979
"528",115,2006,"yes",917,30,"condo",16940,"combo","yes","other","NA","efficiency",901.883666666666,2,13.94,1,4,170.762647058824,46.17,665000,883,2665.77,83,637270,11102,0,20,7979
"529",115,2008,"yes",240,30,"condo",17171,"combo","yes","gas","yes","combo",759.535833333333,2,5,2,4,220.57,30.39,740000,831,241,95,724410,11102,0,20,7979
